"","HUM.clr","ROC.clr","POC.clr","D17"
"PWY0-1297",0.146051887883397,-0.425707661426199,0.165681457056909,-0.414388390617693
"PWY0-1298",0.0395817635063975,-0.353492528027707,0.161713604834804,-0.484979036029661
"PWY0-1319",-0.321551636841287,0.560653308891224,-0.180026640698103,0.322930735046875
"PWY0-1586",0.293460114657443,0.0872423369344773,-0.129503620879853,0.642624256212979
"PWY0-162",-0.280535012208587,0.539767119766595,-0.181899599307603,0.360977327480312
"PWY0-166",-0.0453153056950005,0.356309441650205,-0.161401421673741,0.479499962255266
"PWY0-781",0.0519023882785454,0.293539094051501,-0.159333043748604,0.548916127818463
"PWY1G-0",0.827350315488443,-0.540642617874465,0.0207661173511918,0.580658183001405
"PWY4FS-7",-0.27666828038272,0.535283631870843,-0.18084266063136,0.360628709047819
"PWY4FS-8",-0.27666828038272,0.535283631870843,-0.18084266063136,0.360628709047819
"PYRIDNUCSAL-PWY",0.194741705452524,0.185346014204084,-0.14846163364641,0.625919067352573
"PYRIDNUCSYN-PWY",-0.316248121662676,0.559352540405504,-0.180955524105079,0.330041077838482
"REDCITCYC",-0.592620549980219,0.652200458756917,-0.144845329901525,-0.00126146666855523
"RHAMCAT-PWY",0.539229750365192,-0.130441559673126,-0.095332606269893,0.725774362963759
"RIBOSYN2-PWY",-0.637709931959818,0.707207154551008,-0.158507106545185,0.00706917498503851
"RUMP-PWY",-0.00192397641981373,-0.295298166505087,0.145429265189635,-0.465479344751217
"SALVADEHYPOX-PWY",0.124493936905662,0.235862521689444,-0.152487374634405,0.583835580634594
"SER-GLYSYN-PWY",-0.387492324181028,0.561428622633753,-0.160924031061345,0.210426696170548
"SO4ASSIM-PWY",-0.618793371560723,0.68932171940688,-0.15532238632099,0.0116996684113643
"SULFATE-CYS-PWY",-0.605590708080555,0.683738963514174,-0.156484603196154,0.0257308243571124
"TCA",-0.330086993060098,0.55917963481076,-0.17678184782997,0.305904759970934
"TCA-GLYOX-BYPASS",-0.470721525486197,0.0780084783705978,0.100812505878167,-0.689690357741892
"THRESYN-PWY",-0.42132823300742,0.62019184020184,-0.179753568576285,0.244043627774207
"TRNA-CHARGING-PWY",-0.0516622047459495,0.37059934772689,-0.166536180422663,0.490919129083746
"TRPSYN-PWY",-0.293662197931068,0.545149059872677,-0.180661171476714,0.346762045937575
"UDPNAGSYN-PWY",-0.135323310843246,0.432743170838005,-0.172302664039661,0.443901310209943
"VALSYN-PWY",-0.0650779306838159,0.384729193699826,-0.169503853029088,0.489897305309501
